cell,source,width,value
fl_max,gtr2,18,-0.455
fl_max,gtr2,19,-0.140
fl_max,gtr2,20,-0.114
fl_max,gtr2,21,0.092
fl_max,gtr2,22,0.150
fl_max,gtr2,23,0.172
fl_max,gtr2,24,0.179
fl_max,gtr4sg,8,-3.300
fl_max,gtr4sg,9,-2.994
fl_max,gtr4sg,10,-3.176
fl_max,gtr4sg,11,-2.666
fl_max,gtr4sg,12,-2.437
fl_max,gtr4sg,13,-3.662
fl_max,gtr4sg,14,-2.210
fl_max,gtr4sg,15,-1.855
fl_max,gtr4sg,16,-1.397
fl_max,gtr4sg,17,-0.798
fl_max,gtr4sg,18,-0.449
fl_max,gtr4sg,19,-0.218
fl_max,gtr4sg,20,-0.043
fl_max,gtr4sg,21,0.087
fl_max,gtr4sg,22,0.138
fl_max,gtr4sg,23,0.159
fl_max,gtr4sg,24,0.164
fl_max,prvtgtr,8,-3.592
fl_max,prvtgtr,9,-3.280
fl_max,prvtgtr,10,-3.222
fl_max,prvtgtr,11,-2.779
fl_max,prvtgtr,12,-2.486
fl_max,prvtgtr,13,-3.709
fl_max,prvtgtr,14,-2.478
fl_max,prvtgtr,15,-1.892
fl_max,prvtgtr,16,-1.376
fl_max,prvtgtr,17,-0.934
fl_max,prvtgtr,18,-0.683
fl_max,prvtgtr,19,-0.495
fl_max,prvtgtr,20,-0.357
fl_max,prvtgtr,21,-0.108
fl_max,prvtgtr,22,-0.041
fl_max,prvtgtr,23,-0.012
fl_max,prvtgtr,24,-0.007
fl_max,ytbass,8,-3.497
fl_max,ytbass,9,-3.177
fl_max,ytbass,10,-3.212
fl_max,ytbass,11,-2.900
fl_max,ytbass,12,-2.697
fl_max,ytbass,13,-1.918
fl_max,ytbass,14,-3.712
fl_max,ytbass,15,-2.868
fl_max,ytbass,16,-2.175
fl_max,ytbass,17,-1.779
fl_max,ytbass,18,-1.527
fl_max,ytbass,19,-1.186
fl_max,ytbass,20,-0.689
fl_max,ytbass,21,-0.340
fl_max,ytbass,22,-0.008
fl_max,ytbass,23,0.058
fl_max,ytbass,24,0.072
fl_max,nam,8,-3.666
fl_max,nam,9,-3.403
fl_max,nam,10,-3.697
fl_max,nam,11,-3.465
fl_max,nam,12,-3.114
fl_max,nam,13,-3.284
fl_max,nam,14,-2.814
fl_max,nam,15,-2.092
fl_max,nam,16,-1.537
fl_max,nam,17,-1.017
fl_max,nam,18,-0.865
fl_max,nam,19,-0.680
fl_max,nam,20,-0.645
fl_max,nam,21,-0.628
fl_max,nam,22,-0.596
fl_max,nam,23,-0.589
fl_max,nam,24,-0.543
