cell,source,width,value
fl_max,prvtgtr,23,-76.37
fl_max,prvtgtr,24,-76.77
fl_max,ytbass,8,1.23
fl_max,ytbass,9,-0.08
fl_max,ytbass,10,0.25
fl_max,ytbass,11,0.33
fl_max,ytbass,12,0.10
fl_max,ytbass,13,0.10
fl_max,ytbass,14,-17.24
fl_max,ytbass,15,-25.51
fl_max,ytbass,16,-32.36
fl_max,ytbass,17,-39.29
fl_max,ytbass,18,-43.31
fl_max,ytbass,19,-49.26
fl_max,ytbass,20,-56.77
fl_max,ytbass,21,-60.21
fl_max,ytbass,22,-72.42
fl_max,ytbass,23,-74.05
fl_max,ytbass,24,-74.58
fl_max,nam,8,0.76
fl_max,nam,9,-0.00
fl_max,nam,10,0.15
fl_max,nam,11,0.22
fl_max,nam,12,-0.02
fl_max,nam,13,-0.21
fl_max,nam,14,-20.68
fl_max,nam,15,-27.69
fl_max,nam,16,-34.75
fl_max,nam,17,-39.94
fl_max,nam,18,-42.59
fl_max,nam,19,-47.11
fl_max,nam,20,-47.21
fl_max,nam,21,-47.82
fl_max,nam,22,-48.20
fl_max,nam,23,-47.38
fl_max,nam,24,-50.18
fl_mod,gtr2,8,7.04
fl_mod,gtr2,9,3.09
fl_mod,gtr2,10,0.08
fl_mod,gtr2,11,0.20
fl_mod,gtr2,12,0.02
fl_mod,gtr2,13,-12.11
fl_mod,gtr2,14,-21.28
fl_mod,gtr2,15,-29.49
fl_mod,gtr2,16,-36.93
fl_mod,gtr2,17,-43.79
fl_mod,gtr2,18,-50.71
fl_mod,gtr2,19,-57.78
fl_mod,gtr2,20,-64.22
fl_mod,gtr2,21,-70.18
fl_mod,gtr2,22,-76.85
fl_mod,gtr2,23,-79.38
fl_mod,gtr2,24,-80.49
fl_mod,gtr4sg,8,7.20
fl_mod,gtr4sg,9,2.39
fl_mod,gtr4sg,10,0.27
fl_mod,gtr4sg,11,0.12
fl_mod,gtr4sg,12,0.10
fl_mod,gtr4sg,13,-0.02
fl_mod,gtr4sg,14,-8.70
fl_mod,gtr4sg,15,-26.80
fl_mod,gtr4sg,16,-36.95
fl_mod,gtr4sg,17,-45.05
fl_mod,gtr4sg,18,-52.41
fl_mod,gtr4sg,19,-59.28
fl_mod,gtr4sg,20,-64.73
fl_mod,gtr4sg,21,-70.69
fl_mod,gtr4sg,22,-77.67
fl_mod,gtr4sg,23,-79.18
fl_mod,gtr4sg,24,-80.28
fl_mod,prvtgtr,8,6.82
fl_mod,prvtgtr,9,2.21
fl_mod,prvtgtr,10,0.21
fl_mod,prvtgtr,11,0.12
fl_mod,prvtgtr,12,0.07
fl_mod,prvtgtr,13,-0.05
fl_mod,prvtgtr,14,-8.74
fl_mod,prvtgtr,15,-26.89
fl_mod,prvtgtr,16,-38.22
fl_mod,prvtgtr,17,-45.50
fl_mod,prvtgtr,18,-54.40
fl_mod,prvtgtr,19,-61.75
fl_mod,prvtgtr,20,-66.73
fl_mod,prvtgtr,21,-72.55
fl_mod,prvtgtr,22,-79.21
fl_mod,prvtgtr,23,-79.64
fl_mod,prvtgtr,24,-80.15
fl_mod,ytbass,8,8.42
fl_mod,ytbass,9,2.58
fl_mod,ytbass,10,0.24
fl_mod,ytbass,11,0.14
fl_mod,ytbass,12,0.06
fl_mod,ytbass,13,-0.05
fl_mod,ytbass,14,-6.34
fl_mod,ytbass,15,-19.70
fl_mod,ytbass,16,-32.64
fl_mod,ytbass,17,-38.36
fl_mod,ytbass,18,-47.81
fl_mod,ytbass,19,-55.62
fl_mod,ytbass,20,-62.60
fl_mod,ytbass,21,-70.17
fl_mod,ytbass,22,-75.12
fl_mod,ytbass,23,-75.96
fl_mod,ytbass,24,-76.79
fl_mod,nam,8,8.51
fl_mod,nam,9,2.37
fl_mod,nam,10,0.22
fl_mod,nam,11,0.13
fl_mod,nam,12,0.02
fl_mod,nam,13,-0.03
fl_mod,nam,14,-14.56
fl_mod,nam,15,-27.05
fl_mod,nam,16,-36.79
fl_mod,nam,17,-42.77
fl_mod,nam,18,-50.62
fl_mod,nam,19,-56.98
fl_mod,nam,20,-60.92
fl_mod,nam,21,-64.45
fl_mod,nam,22,-75.00
fl_mod,nam,23,-76.74
fl_mod,nam,24,-77.09
