sample,dry_input,golden_fp32_output
84,-0.25,-0.133475274
85,-0.247861221,-0.133641213
86,-0.241481453,-0.133549422
87,-0.230969876,-0.133380771
88,-0.216506347,-0.133253515
89,-0.19833833,-0.133178189
90,-0.176776692,-0.133117542
91,-0.152190357,-0.133024693
92,-0.125,-0.132833585
93,-0.0956708565,-0.132504076
94,-0.0647047609,-0.13213262
95,-0.0326315463,-0.13180241
96,-1.22464685e-16,-0.129307657
97,0.0326315463,-0.0815716833
98,0.0647047609,0.00826403499
99,0.0956708565,0.0530246496
100,0.125,0.0871777087
101,0.152190357,0.108471259
102,0.176776692,0.121323466
103,0.19833833,0.129780203
104,0.216506347,0.135959908
105,0.230969876,0.140197262
106,0.241481453,0.143208802
107,0.247861221,0.145378456
108,0.25,0.146938309
109,0.247861221,0.14808996
110,0.241481453,0.148933172
111,0.230969876,0.149579942
112,0.216506347,0.15007025
113,0.19833833,0.150366649
114,0.176776692,0.150372848
115,0.152190357,0.150141314
116,0.125,0.149978593
117,0.0956708565,0.15008688
118,0.0647047609,0.150250807
119,0.0326315463,0.149446562
120,1.5308085e-16,0.140323251
121,-0.0326315463,0.0771362185
122,-0.0647047609,0.00509734452
123,-0.0956708565,-0.0498205274
124,-0.125,-0.076714538
125,-0.152190357,-0.0963946432
126,-0.176776692,-0.10716556
127,-0.19833833,-0.117426068
128,-0.216506347,-0.12576282
129,-0.230969876,-0.129375443
130,-0.241481453,-0.131973773
131,-0.247861221,-0.133723944
132,-0.25,-0.134423092
133,-0.247861221,-0.134593561
134,-0.241481453,-0.134504646
135,-0.230969876,-0.134337664
136,-0.216506347,-0.134211764
137,-0.19833833,-0.134137124
138,-0.176776692,-0.134076118
139,-0.152190357,-0.133981913
140,-0.125,-0.133788854
141,-0.0956708565,-0.133458257
142,-0.0647047609,-0.133087397
143,-0.0326315463,-0.132756069
144,-1.83697015e-16,-0.130256951
145,0.0326315463,-0.0828650147
146,0.0647047609,0.00752058625
147,0.0956708565,0.0520431697
148,0.125,0.0861923248
149,0.152190357,0.107438803
150,0.176776692,0.120282695
151,0.19833833,0.128749609
152,0.216506347,0.134941638
153,0.230969876,0.139188156
154,0.241481453,0.142209649
155,0.247861221,0.144388825
156,0.25,0.145957559
157,0.247861221,0.147117347
158,0.241481453,0.147967204
159,0.230969876,0.148619205
160,0.216506347,0.14911361
161,0.19833833,0.149413794
162,0.176776692,0.149425626
163,0.152190357,0.149204701
164,0.125,0.149059236
165,0.0956708565,0.149189234
166,0.0647047609,0.14937529
167,0.0326315463,0.148586825
168,2.14313193e-16,0.139428347
169,-0.0326315463,0.0761344582
170,-0.0647047609,0.00412180275
171,-0.0956708565,-0.0507370159
172,-0.125,-0.0775988325
173,-0.152190357,-0.097267583
174,-0.176776692,-0.108016804
175,-0.19833833,-0.11827413
176,-0.216506347,-0.126622215
177,-0.230969876,-0.130237132
178,-0.241481453,-0.132838205
179,-0.247861221,-0.134595454
180,-0.25,-0.135299116
181,-0.247861221,-0.135472625
182,-0.241481453,-0.135385558
183,-0.230969876,-0.135219872
184,-0.216506347,-0.135095447
185,-0.19833833,-0.135022312
186,-0.176776692,-0.134962857
187,-0.152190357,-0.134870172
188,-0.125,-0.134678856
189,-0.0956708565,-0.134351179
190,-0.0647047609,-0.133985177
191,-0.0326315463,-0.133658409
192,-2.44929371e-16,-0.131167859
193,0.0326315463,-0.0841633901
194,0.0647047609,0.00677627325
195,0.0956708565,0.0510781854
196,0.125,0.0852495581
197,0.152190357,0.106470913
198,0.176776692,0.11931783
199,0.19833833,0.127799109
200,0.216506347,0.134005845
201,0.230969876,0.138262033
202,0.241481453,0.141292512
203,0.247861221,0.14347969
204,0.25,0.145055369
205,0.247861221,0.146221638
206,0.241481453,0.147076607
207,0.230969876,0.147732794
208,0.216506347,0.148230284
209,0.19833833,0.148533389
210,0.176776692,0.148550048
211,0.152190357,0.148339182
212,0.125,0.148210734
213,0.0956708565,0.148361802
214,0.0647047609,0.148568884
215,0.0326315463,0.147793919
216,1.16372395e-15,0.138588995
217,-0.0326315463,0.0751292109
218,-0.0647047609,0.00316163152
219,-0.0956708565,-0.0516084507
220,-0.125,-0.0784293264
221,-0.152190357,-0.0980815887
222,-0.176776692,-0.108805567
223,-0.19833833,-0.119062439
224,-0.216506347,-0.127419785
225,-0.230969876,-0.13103506
226,-0.241481453,-0.133639753
227,-0.247861221,-0.135403842
228,-0.25,-0.136111572
229,-0.247861221,-0.136287943
230,-0.241481453,-0.136202604
231,-0.230969876,-0.136038169
232,-0.216506347,-0.135915071
233,-0.19833833,-0.135843396
234,-0.176776692,-0.13578558
235,-0.152190357,-0.135694548
236,-0.125,-0.13550517
237,-0.0956708565,-0.135180414
238,-0.0647047609,-0.134818882
239,-0.0326315463,-0.13449657
240,-3.061617e-16,-0.132020086
241,0.0326315463,-0.0854625776
242,0.0647047609,0.00607763231
243,0.0956708565,0.0501565784
244,0.125,0.0843623281
245,0.152190357,0.10556297
246,0.176776692,0.118416369
247,0.19833833,0.126913175
248,0.216506347,0.133134618
249,0.230969876,0.137401223
250,0.241481453,0.140440822
251,0.247861221,0.14263612
252,0.25,0.144218802
253,0.247861221,0.145391464
254,0.241481453,0.146251678
255,0.230969876,0.14691186
256,0.216506347,0.14741233
257,0.19833833,0.147718072
258,0.176776692,0.147739202
259,0.152190357,0.14753814
260,0.125,0.147426009
261,0.0956708565,0.147597045
262,0.0647047609,0.147823408
263,0.0326315463,0.147059411
