cell,src,width,rho_L,beta_dBdB,n_frames,n_dropped,esr_db,ref_len,test_len,truncated,status,pairs_file,ref,test
fl_max,gtr4sg,14,0.0147,0.0074,17090,0,-22.52,17503200,17503200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_fl_max/anchor_gtr4sg_ref32.f32,<ELLE_HB>/peaq/board_music/board_gtr4sg_fl_max_w14.f32
fl_max,gtr4sg,15,-0.2414,-0.0970,17090,0,-29.02,17503200,17503200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_fl_max/anchor_gtr4sg_ref32.f32,<ELLE_HB>/peaq/board_music/board_gtr4sg_fl_max_w15.f32
fl_max,gtr4sg,16,-0.3684,-0.1940,17090,0,-35.87,17503200,17503200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_fl_max/anchor_gtr4sg_ref32.f32,<ELLE_HB>/peaq/board_music/board_gtr4sg_fl_max_w16.f32
fl_max,gtr4sg,17,-0.4527,-0.2128,17090,0,-42.10,17503200,17503200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_fl_max/anchor_gtr4sg_ref32.f32,<ELLE_HB>/peaq/board_music/board_gtr4sg_fl_max_w17.f32
fl_max,gtr4sg,18,-0.5130,-0.2824,17090,0,-47.84,17503200,17503200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_fl_max/anchor_gtr4sg_ref32.f32,<ELLE_HB>/peaq/board_music/board_gtr4sg_fl_max_w18.f32
fl_max,gtr4sg,19,-0.5308,-0.2982,17090,0,-55.36,17503200,17503200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_fl_max/anchor_gtr4sg_ref32.f32,<ELLE_HB>/peaq/board_music/board_gtr4sg_fl_max_w19.f32
fl_max,gtr4sg,20,-0.5226,-0.2481,17090,0,-61.90,17503200,17503200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_fl_max/anchor_gtr4sg_ref32.f32,<ELLE_HB>/peaq/board_music/board_gtr4sg_fl_max_w20.f32
fl_max,gtr4sg,21,-0.5890,-0.2808,17090,0,-67.52,17503200,17503200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_fl_max/anchor_gtr4sg_ref32.f32,<ELLE_HB>/peaq/board_music/board_gtr4sg_fl_max_w21.f32
fl_max,gtr4sg,22,-0.3871,-0.1725,17090,0,-72.85,17503200,17503200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_fl_max/anchor_gtr4sg_ref32.f32,<ELLE_HB>/peaq/board_music/board_gtr4sg_fl_max_w22.f32
fl_max,gtr4sg,23,-0.4449,-0.1943,17090,0,-75.64,17503200,17503200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_fl_max/anchor_gtr4sg_ref32.f32,<ELLE_HB>/peaq/board_music/board_gtr4sg_fl_max_w23.f32
fl_max,gtr4sg,24,-0.4099,-0.1665,17090,0,-76.46,17503200,17503200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_fl_max/anchor_gtr4sg_ref32.f32,<ELLE_HB>/peaq/board_music/board_gtr4sg_fl_max_w24.f32
fl_max,prvtgtr,8,0.8720,0.1252,14794,0,1.71,15151200,15151200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_fl_max/anchor_prvtgtr_ref32.f32,<ELLE_HB>/peaq/board_music/board_prvtgtr_fl_max_w8.f32
fl_max,prvtgtr,9,0.9524,0.5085,14794,0,-0.07,15151200,15151200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_fl_max/anchor_prvtgtr_ref32.f32,<ELLE_HB>/peaq/board_music/board_prvtgtr_fl_max_w9.f32
fl_max,prvtgtr,10,0.9277,0.3025,14794,0,0.27,15151200,15151200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_fl_max/anchor_prvtgtr_ref32.f32,<ELLE_HB>/peaq/board_music/board_prvtgtr_fl_max_w10.f32
fl_max,prvtgtr,11,0.9291,0.2203,14794,0,0.33,15151200,15151200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_fl_max/anchor_prvtgtr_ref32.f32,<ELLE_HB>/peaq/board_music/board_prvtgtr_fl_max_w11.f32
fl_max,prvtgtr,12,0.9662,0.3774,14794,0,0.09,15151200,15151200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_fl_max/anchor_prvtgtr_ref32.f32,<ELLE_HB>/peaq/board_music/board_prvtgtr_fl_max_w12.f32
fl_max,prvtgtr,13,0.3116,0.1471,14794,0,-5.99,15151200,15151200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_fl_max/anchor_prvtgtr_ref32.f32,<ELLE_HB>/peaq/board_music/board_prvtgtr_fl_max_w13.f32
fl_max,prvtgtr,14,0.3214,0.0940,14794,0,-22.37,15151200,15151200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_fl_max/anchor_prvtgtr_ref32.f32,<ELLE_HB>/peaq/board_music/board_prvtgtr_fl_max_w14.f32
fl_max,prvtgtr,15,0.2734,0.0576,14794,0,-30.35,15151200,15151200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_fl_max/anchor_prvtgtr_ref32.f32,<ELLE_HB>/peaq/board_music/board_prvtgtr_fl_max_w15.f32
fl_max,prvtgtr,16,0.1422,0.0336,14794,0,-38.55,15151200,15151200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_fl_max/anchor_prvtgtr_ref32.f32,<ELLE_HB>/peaq/board_music/board_prvtgtr_fl_max_w16.f32
fl_max,prvtgtr,17,0.1240,0.0260,14794,0,-44.78,15151200,15151200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_fl_max/anchor_prvtgtr_ref32.f32,<ELLE_HB>/peaq/board_music/board_prvtgtr_fl_max_w17.f32
